gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
865735676	5a659248-1f70-11e3-b2c5-00145eb45e9a		Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus Waterhouse, 1843		CN			PRESENT		23539a57-1347-4dd3-af2a-cf9478563baa	35.0	105.0											4264890	7429082	PRESERVED_SPECIMEN	MHNG	Mammals housed at MHNG, Geneva	MHNG-MAM-723.070				CC_BY_NC_4_0		Kühne			2024-01-24T18:36:11.643Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
859500497	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242230	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	None	Tablas	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862									1920-01-01	1	1	1920	4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242230	110			CC0_1_0				native	2024-04-29T10:40:07.708Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859500489	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242229	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	None	Tablas	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242229	109			CC0_1_0				native	2024-04-29T10:40:07.479Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492796	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242225	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242225	728			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:07.618Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492790	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242224	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242224	727			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.092Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492785	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242222	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242222	725			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.028Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492779	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242221	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242221	724			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:07.708Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492774	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242220	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242220	723			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.118Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492769	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242219	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242219	722			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:03.030Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
859492764	96ca66b4-f762-11e1-a439-00145eb45e9a	urn:catalog:AMNH:Mammals:M-242218	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	Mus musculus	castaneus	SUBSPECIES	Mus musculus castaneus Waterhouse, 1843	Mus musculus castaneus		PH	Los Banos	Luzon	PRESENT	1	ccd1ddc0-6c21-11de-8224-b8a03c50a862													4264890	7429082	PRESERVED_SPECIMEN	AMNH	Mammals	M-242218	721			CC0_1_0		E. H. Taylor		native	2024-04-29T10:40:07.578Z		CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COUNTRY
